artwork_title,artist,first_name,surname,country_of_origin,artist_biography,website_artist,description,price,medium,genre,style,subject,colour,artwork_image,artwork_link,dimensions,year,image_url,currency,tags
Engineer,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Intricate steampunk interior featuring large, suspended spherical structures with visible gears and machinery, set within a grand industrial space with large arched windows allowing natural light to flood in. The composition is detailed and layered, reminiscent of Victorian industrial aesthetics blended with futuristic elements. The scene is rich with mechanical complexity and organic growth, suggesting a harmonious coexistence of nature and technology.",Not for sale,Digital Art,Digital Art,Steampunk,Industrial interior with steampunk machinery,Rusty orange and teal,Steampunk1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""steampunk"",""industrial"",""futuristic"",""machinery"",""digital""]"
Copper Dreams,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A richly detailed composition featuring a figure seated at a desk surrounded by an intricate array of steampunk-inspired machinery and monitors. The scene is infused with a sense of retro-futurism, reminiscent of the works of Jules Verne and H.G. Wells, with a painterly texture that echoes Impressionist techniques. The warm, earthy tones contrast with cool blues, creating a dynamic visual tension.",Not for sale,Digital Art,Digital Art,Steampunk,Person at a steampunk workstation,Turquoise,Steampunk2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""steampunk"",""machinery"",""retro-futurism""]"
The Laboratory,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A retro-futuristic laboratory setting with a large, spherical, yellow steampunk machine suspended in the center, surrounded by intricate mechanical details. A lone figure sits at a cluttered desk, absorbed in work, evoking a sense of curiosity and innovation. The textured brushwork and muted color palette are reminiscent of Impressionist techniques, while the subject matter echoes the aesthetics of steampunk and science fiction art.",Not for sale,Digital Art,Digital Art,Steampunk,Steampunk laboratory with machinery,Yellow,Steampunk3.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""steampunk"",""laboratory"",""machinery"",""science fiction"",""retro-futurism""]"
Bone and Bloom,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A young woman in profile with an elaborate, surreal headpiece composed of organic and mechanical elements, set against a textured, ethereal blue background. The composition blends delicate realism with dreamlike abstraction, reminiscent of surrealist techniques and contemporary digital art.",Not for sale,Digital Art,Surrealism,Surrealistic,Female portrait with surreal elements,Blue,Surrealistic1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""surrealism"",""portrait"",""digital"",""abstract"",""dreamlike""]"
Skywater,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A dreamlike composition featuring a large, serene face formed by clouds and tree branches, emerging from the water. A small boat floats in the sky, adding to the surreal atmosphere. The use of soft blues and whites creates a tranquil mood, reminiscent of surrealist works by Salvador Dalí.",Not for sale,Digital Art,Surrealism,Surrealist,Dreamlike landscape with human face and boat,Blue,Surrealistic2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""surrealism"",""dreamlike"",""landscape"",""face"",""boat""]"
Shell of Time,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A barren tree clings to the edge of a cliff, overlooking a surreal beachscape where a cracked eggshell with clock hands lies on the sand. The composition is dreamlike, with a clear blue sky and fluffy clouds, reminiscent of Salvador Dalí's surrealism. The juxtaposition of natural and fantastical elements creates a sense of timelessness and mystery.",Not for sale,Oil Painting,Surrealism,Surrealist,Surreal landscape with tree and clock,Blue,Surrealistic3.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""surrealism"",""landscape"",""clock"",""tree"",""dreamlike""]"
Roots Above the Clouds,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A lone tree stands on a narrow strip of land, mirrored by a surreal reflection below, creating an illusion of floating in the sky. The composition is reminiscent of Magritte's surrealism, with a dreamlike quality enhanced by soft, cloud-filled skies. The juxtaposition of reality and illusion invites contemplation.",Not for sale,Digital Art,Surrealism,Surrealistic,Tree and reflection,Blue,Surrealistic4.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""surrealism"",""reflection"",""tree"",""illusion"",""dreamlike""]"
Sky Migration,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A flock of birds in flight against a textured purple sky, creating a dreamlike atmosphere. The composition features birds of various colors and sizes, reminiscent of surrealist techniques with a focus on imaginative and fantastical elements. The use of bold brushstrokes and vibrant colors enhances the ethereal quality, echoing elements of expressionism.",Not for sale,Oil Painting,Abstract,Surrealism,Birds in flight,Purple,Surrealiststyle1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""birds"",""flight"",""surreal"",""purple"",""dreamlike""]"
Jardin,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Intricate architectural elements blend with lush greenery, creating a harmonious balance between nature and structure. The geometric patterns on the walls and stairs are reminiscent of Art Deco influences, while the verdant foliage and water lilies evoke a serene, almost mystical atmosphere. The composition guides the viewer's eye through the space, inviting exploration and contemplation.",Not for sale,Digital Art,Digital Art,Contemporary,Architectural fantasy with nature,Green,Testdata1.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""architecture"",""nature"",""geometric"",""Art Deco"",""serene""]"
Tuscany,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A vibrant depiction of a sunlit village nestled among rolling hills, using a stylized approach with geometric shapes and a pointillist texture. The composition is balanced with a large sun dominating the sky, casting warm hues over the landscape. The use of gradients and stippling echoes contemporary digital art techniques.",Not for sale,Digital Art,Landscape,Digital Art,Village landscape,Teal,Testdata2.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""village"",""landscape"",""digital"",""sun"",""hills""]"
The Bridge,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Intricate architectural forms dominate the scene, with towering arches and lush greenery interwoven throughout, creating a harmonious blend of nature and structure. The composition is reminiscent of fantastical landscapes, evoking a sense of mystery and exploration. The use of light and shadow adds depth, while the detailed textures suggest a digital art technique.",Not for sale,Digital Art,Digital Art,Fantasy,Architectural landscape,Green,Testdata3.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""architecture"",""fantasy"",""greenery""]"
Hermes,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"Intricate and symmetrical composition featuring a large, stylized face surrounded by lush foliage and radiating lines. The design is reminiscent of Art Nouveau with its organic forms and detailed patterns, evoking a sense of nature's grandeur and mysticism.",Not for sale,Digital Art,Digital Art,Art Nouveau,Stylized face with foliage,Green,Testdata4.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""symmetrical"",""foliage"",""face"",""Art Nouveau"",""intricate""]"
Mother,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A classical marble bust is draped in rich, velvety fabric, seated in an armchair flanked by two ornate lamps, creating a surreal juxtaposition of classical and contemporary elements. The setting is bathed in a warm, pinkish hue, reminiscent of Baroque opulence with a modern twist.",Not for sale,Photography,Still Life,Contemporary,Classical bust in a modern interior,Pink,Testdata5.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""classical"",""bust"",""modern"",""interior"",""pink""]"
The Mechanical Turk,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A surreal scene featuring a humanoid figure with a bird head operating a loom in a richly decorated room. The vibrant teal walls contrast with the pink attire and loom, creating a whimsical yet sophisticated atmosphere. The composition is reminiscent of surrealist art, blending the fantastical with the mundane.",Not for sale,Digital Art,Surrealism,Contemporary Surrealism,Humanoid bird figure weaving,Teal,Testdata6.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""surrealism"",""bird"",""loom"",""vibrant"",""fantastical""]"
Adieu,Training Data,Training,Data,United Kingdom,These test images have been used to train our matching algorithm.,www.kaleidorium.com,"A serene scene of a woman reclining on a bed surrounded by doves, with soft, flowing fabrics creating a sense of movement. The composition is reminiscent of Romanticism, with an emphasis on tranquility and dreamlike quality. The use of light and shadow enhances the ethereal atmosphere.",Not for sale,Oil Painting,Figurative Art,Romanticism,Woman resting with birds,Soft green,Testdata7.png,www.kaleidorium.com,1232 x 928 px,2025,,USD,"[""woman"",""doves"",""dreamlike"",""Romanticism"",""serene""]"
